@niascourfs|[40.453115, -3.688327]|Thu Jul 05 11:02:20 +0000 2018|b'Not as impressive as the CCS I must say \xf0\x9f\x98\x82 https://t.co/XSamNZ22A4'
@kyes000|[40.524724, -3.8161535]|Thu Jul 05 11:02:22 +0000 2018|b'@noticias_cuatro ES TODO LIMPIEZA'
@emiliodebenito|[40.4777945, -3.7035075]|Thu Jul 05 11:02:28 +0000 2018|b'Los m\xc3\xa9dicos alertan del \xe2\x80\x9cembudo\xe2\x80\x9d de licenciados en Medicina en Espa\xc3\xb1a https://t.co/nojQ7ac3nY'
@Hinojosa_20|[40.319903499999995, -3.893226]|Thu Jul 05 11:02:31 +0000 2018|b'@_falloutirene es una jodida rayada jajajaja'
@albaferro_|[40.4777945, -3.7035075]|Thu Jul 05 11:02:33 +0000 2018|b'Retwitear tambi\xc3\xa9n hace que suban los votos https://t.co/fjsWA9bDdF'
@Licantropismo|[40.319903499999995, -3.893226]|Thu Jul 05 11:02:37 +0000 2018|b'@SergioGon13 de la banda sonora de mar adentro'
@IndyJoserra|[40.4777945, -3.7035075]|Thu Jul 05 11:02:39 +0000 2018|b'@_S4O_ Para la colecci\xc3\xb3n de @oriolguellipuig'
@Gerson_Garrosa|[40.319903499999995, -3.893226]|Thu Jul 05 11:02:39 +0000 2018|b'@Dr_D_Rodriguez @Karbajo #granreflexi\xc3\xb3n \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb'
@nachetejidg|[40.524724, -3.8161535]|Thu Jul 05 11:02:40 +0000 2018|b'@a1009918697 \xd9\x83\xd9\x86\xd8\xaa \xd8\xaa\xd9\x87\xd9\x8a\xd9\x85\xd9\x86 \xd8\xb9\xd9\x84\xd9\x89 \xd9\x87\xd8\xb0\xd8\xa7 \xd8\xa7\xd9\x84\xd9\x88\xd8\xb6\xd8\xb9 .. \xd9\x85\xd8\xab\xd9\x84 \xd9\x84\xd8\xa7 \xd8\xa3\xd8\xad\xd8\xaf ..'
@TrustNoneeeMark|[40.4777945, -3.7035075]|Thu Jul 05 11:02:44 +0000 2018|b'Mookie- LOVE Comment of you fw it @ Madrid, Spain https://t.co/fs7qXcUr0q'
@EstherBC97|[40.4777945, -3.7035075]|Thu Jul 05 11:02:50 +0000 2018|b'@ivan_4distp Jajajaajhaja que te gusta una rusa ...'
@Khriztianjs|[40.4777945, -3.7035075]|Thu Jul 05 11:02:50 +0000 2018|b'\xf0\x9f\x98\x8f\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 en Madrid, Spain https://t.co/BYyQfFoJF4'
@saraserdi|[39.984963, -4.2841629999999995]|Thu Jul 05 11:02:52 +0000 2018|b'Me hubiera venido bien @helena_lorenzo_ https://t.co/lkB60jmAZc'
@Raul_Sanchez_10|[40.524749, -3.891385]|Thu Jul 05 11:02:52 +0000 2018|b'Muchas Gracias @adidas_es por el  detalle y por todas las cosas que me ha enviado. Ya estoy listo para ir a Rusia a\xe2\x80\xa6 https://t.co/BWDKXbBPZd'
@CarlosPulidodj|[40.4777945, -3.7035075]|Thu Jul 05 11:02:56 +0000 2018|b'Una semana MADRID \xe2\x80\xbc\xef\xb8\x8f@goyasocialclub calendulaelectronica #goyasocialclub #showcase #calendula #carlospulido en Goya\xe2\x80\xa6 https://t.co/odsTBy2o9l'
@BurgoVega|[40.328899, -3.7695875]|Thu Jul 05 11:02:57 +0000 2018|b'Detr\xc3\xa1s de de \xc3\xa9ste Sr. Est\xc3\xa1n muchos que solo esperan que les salga bien, tienes a el  Gran Zapatero Don dinero y un\xe2\x80\xa6 https://t.co/KrOkDj51f1'
@CRBInverbio|[40.4777945, -3.7035075]|Thu Jul 05 11:02:58 +0000 2018|b'Acabamos de escuchar al CEO de @mecwins_biotech que nos ha puesto al d\xc3\xada de los avances de la compa\xc3\xb1\xc3\xada. Gracias Osc\xe2\x80\xa6 https://t.co/3TUAeCV8S5'
@InstitutoRoche|[40.438618, -3.71835]|Thu Jul 05 11:02:58 +0000 2018|b'Mirada internacional. Un placer poder escuchar a Mark Caulfield, Chief Scientist for Genomics England, 100.000 Geno\xe2\x80\xa6 https://t.co/dXJ4ij52mg'
@arte_4_estudio|[40.4777945, -3.7035075]|Thu Jul 05 11:03:04 +0000 2018|b'\xc2\xa1NO TE QUEDES DORMIDA NI DORMIDO COMO TITANIA!  \xc2\xa1Matriculaci\xc3\xb3n Abierta del Curso 2108/19 hasta el 25 de Julio!  Gra\xe2\x80\xa6 https://t.co/ufSICuBtLE'
@UnikaFM_Radio|[40.524724, -3.8161535]|Thu Jul 05 11:03:08 +0000 2018|b'\xc2\xbfTe recuerda a algo la canci\xc3\xb3n ganadora de #Eurovision2018? Porque Universal defiende que #TOY es un plagio del fam\xe2\x80\xa6 https://t.co/cngqnpZWxV'
@ElenaMLSB|[40.3005505, -3.665667]|Thu Jul 05 11:03:11 +0000 2018|b'ella, @Miriam_ot2017 enamorada de boss\xf0\x9f\x98\x82\xf0\x9f\x92\x98'
@Purita58|[40.147808, -3.9810335]|Thu Jul 05 11:03:15 +0000 2018|b'@camara_romy @BelenEstebanM @javviercalvo Olee mi chica de la eterna sonrisa.'
@RaimonDuran|[40.524724, -3.8161535]|Thu Jul 05 11:03:20 +0000 2018|b'@JuanSnchzF1 @garcijarvar @breverte_ @YUKIOSEKImaddog "Aqu\xc3\xad" no s\xc3\xa9 d\xc3\xb3nde es. Pero en ciertos medios period\xc3\xadsticos e\xe2\x80\xa6 https://t.co/CKd5FC95gs'
@fatiiicm|[40.319903499999995, -3.893226]|Thu Jul 05 11:03:31 +0000 2018|b'Estoy tan bien que me da miedo'
@LMLOPEZ65|[40.4777945, -3.7035075]|Thu Jul 05 11:03:36 +0000 2018|b"El Parlamento Europeo rechaza la reforma del 'copyright' que reclamaban los creadores https://t.co/5RUIU5X1Ki v\xc3\xada @elmundoes"
@nachetejidg|[40.524724, -3.8161535]|Thu Jul 05 11:03:36 +0000 2018|b'@ea_bo2 Amor \xf0\x9f\x8c\xb9 https://t.co/Vt9u6VzynR'
@Hinojosa_20|[40.319903499999995, -3.893226]|Thu Jul 05 11:03:43 +0000 2018|b'Srr- @KiddKeo95Flames , Cheu-B. Videoclip pronto papa\xf0\x9f\x92\xa6'
